track_id,track_name,artist_name,album_name,release_date,release_date_precision,loudness
05w8KDdCGRfoFuyVXgLyfL,Mother And Child Reunion,"Royal Philharmonic Orchestra, Paul Simon",Chilled Orchestral Music vol. 2,2020-03-02,day,-14.408
06EL94D0TA27Ik0Ke5usbj,The Way,"Ariana Grande, Mac Miller",Yours Truly,2013-01-01,day,-3.208
06IsyJksK6vgJX66rU77Ij,Fortress Around Your Heart,Sting,The Dream Of The Blue Turtles,1985-01-01,day,-15.447
06T10fEzN8ZCcqzQZYA184,Gotta Be Somebody,Nickelback,Dark Horse,2008-10-28,day,-5.222
06TuMCjDEYjTOJScCRzmjf,Don't Let Go (Love),En Vogue,EV3,1997-06-17,day,-5.867
06uiDyZsrwnZ0o0q1Y8Ax2,Mr. Bojangles,Nitty Gritty Dirt Band,Mr. Bojangles,2008-01-01,day,-6.957
06xkqQuJzl1ddeK48jG6qa,Fire,Ohio Players,Fire,1974-06-01,day,-11.794
07Cs882pDSCuggekDdmw4K,Broken Hearted Me,Anne Murray,Anne Murray The Best Of...So Far - 20 Greatest Hits,1994-01-01,day,-8.493
07EkVhJn2GedVKyH4JuoPb,"Wrapped Around Your Finger - Live From River Plate Stadium, Buenos Aires",The Police,Certifiable (Live in Buenos Aires),2008-01-01,day,-7.46
07Jog3qtGiJ5Xqs9hySIs0,Intentions,"Justin Bieber, Quavo",Valentines Day Songs,2021-02-01,day,-6.631
07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Please Excuse Me for Being Antisocial,2019-12-06,day,-8.442
07M76e7IXxYdnC1BBiJxEX,All The Man That I Need,Whitney Houston,I'm Your Baby Tonight,1990-11-04,day,-9.958
07OzC5JlcaDwEkzWmvqp6y,Nasty,Janet Jackson,Control,1986-02-04,day,-11.697
07QeqzdAvYO5yvG3RnLFIN,Undercover Angel,Alan O'Day,70 Hits of the 70s,2021-03-05,day,-7.021
07SajbxT3mMTKhbkGjVMBW,Party Like A Rockstar - (Choppa Dunks Remix),"Shop Boyz, Choppa Dunks",Party Like A Rockstar (Choppa Dunks Remix),2016-10-28,day,-4.133
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,KISS,Dynasty,1979-03-23,day,-6.215
0815caqt2Lytro5EIzMufT,You And Me,Lifehouse,Lifehouse,2005-03-22,day,-7.734
08GOEVXupC6ECbulhPGQKm,Stranger in My House,Tamia,A Nu Day,2000-10-01,day,-4.905
08U1ziUT1WMHP5nfFoNttO,Hurt So Bad,Linda Ronstadt,Prime Country from the 80s & 90s,2019-01-04,day,-9.369
08bNPGLD8AhKpnnERrAc6G,FRIENDS,"Marshmello, Anne-Marie",FRIENDS,2018-02-09,day,-2.384
08kvJTpcthAvvvW0BAcGHN,I Go Crazy,Paul Davis,"Singer of Songs, Teller of Tales",1977-03-17,day,-8.66
08o75xMKmGrKny6GsXrNJW,Little Lies,Fleetwood Mac,Greatest Hits,1988-11-21,day,-9.816
08onVqQ8YicJ98Ycm1qoLf,Urgent,Foreigner,4 (Expanded),1981,year,-5.849
08tq1XcHwVt5PHXUo87i0D,All To Myself,Dan + Shay,Dan + Shay,2018-06-22,day,-4.616
08uGhvS5MfBk7crUCpnjva,Blame It,"Jamie Foxx, T-Pain",Intuition,2008-12-11,day,-5.426
095MMFhB9qxPx2VsmvjnUs,Live to Tell,Madonna,True Blue (Reissue),1986-06-30,day,-14.156
09IStsImFySgyp0pIQdqAc,The Middle,Maren Morris,The Middle,2018-01-23,day,-3.061
09VtDFWlxC9v9tyRnmpGPl,Give Me Love (Give Me Peace On Earth) - 2009 Mix,George Harrison,Let It Roll - Songs Of George Harrison,2009-01-01,day,-7.976
09ZcYBGFX16X8GMDrvqQwt,For the First Time,The Script,Science & Faith,2011-01-18,day,-4.78
09bRmFRViBORKQ2miwp04P,Even the Nights Are Better,Air Supply,Now And Forever,1982-06-01,day,-10.422
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,"My Dear Melancholy,",2018-03-30,day,-4.954
09ts3GnICqYEU5PkQCpJK3,Say Something (feat. Chris Stapleton),"Justin Timberlake, Chris Stapleton",Say Something (feat. Chris Stapleton),2018-01-25,day,-7.031
0AA6zq5ArZ1sSH7VIMi4NK,This Is Why I'm Hot,MiMS,Music Is My Savior,2007-01-01,day,-6.349
0ADZ5dmXhlfzjMw6lefoPl,Far Away,Nickelback,All the Right Reasons,2005-09-26,day,-5.153
0ALJZXgutuN6F680E8lQPs,Daydreamin',"Tatyana Ali, Lord Tariq, Peter Gunz",Kiss The Sky,1998-10-23,day,-7.565
0AQqrtK1pULuwZUXhwaaDz,All By Myself,Eric Carmen,Eric Carmen,1975-01-01,day,-9.184
0AcLrSfAEBQcUnHOTm5pXg,Get It On Tonite,Montell Jordan,Best Of Montell Jordan,2015-09-25,day,-9.91
0Aqlt4N5h6rUtKnd09VXpr,Grillz,"Nelly, Paul Wall, Ali & Gipp",Sweatsuit,2005-11-25,day,-7.243
0At2qAoaVjIwWNAqrscXli,Boo'd Up,Ella Mai,READY,2017-02-22,day,-5.107
0B1zVsLqmV9ibIFdNS5tGs,I Saw the Light,Todd Rundgren,Something / Anything?,1972,year,-8.29
0B2ZuTLZnWQ6gz8RlNwBu1,On Fire,Lloyd Banks,The Hunger For More,2004-01-01,day,-4.289
